vs_link,vs_name,vs_id,ftm_name,ftm_id 
MA;https://justfacts.votesmart.org/interest-group/456/massachusetts-afl-cio,massachusetts afl cio,456,"Aft Massachusetts, Afl-Cio Political Education Fund 80227",47152015
MA;https://justfacts.votesmart.org/interest-group/456/massachusetts-afl-cio,massachusetts afl cio,456,Massachusetts Afl-Cio,20146
MA;https://justfacts.votesmart.org/interest-group/456/massachusetts-afl-cio,massachusetts afl cio,456,Massachusetts Afl-Cio General Fund,46853608
MA;https://justfacts.votesmart.org/interest-group/456/massachusetts-afl-cio,massachusetts afl cio,456,Massachusetts Afl-Cio Working Peoples Fund-2019,49663175
MA;https://justfacts.votesmart.org/interest-group/456/massachusetts-afl-cio,massachusetts afl cio,456,"Massachusetts Afl-Cio, Working Peoples Fund",48919928
MA;https://justfacts.votesmart.org/interest-group/456/massachusetts-afl-cio,massachusetts afl cio,456,Massachusetts Bldg Trades Council Afl-Cioitee Cpf 80116,50809012
MA;https://justfacts.votesmart.org/interest-group/456/massachusetts-afl-cio,massachusetts afl cio,456,Massachusetts Building & Trades Council Afl Cio,50808405
MA;https://justfacts.votesmart.org/interest-group/456/massachusetts-afl-cio,massachusetts afl cio,456,Massachusetts Building Trades Council Afl-Cio Cpf80116,50808746
MD;https://justfacts.votesmart.org/interest-group/832/maryland-state-rifle-and-pistol-association,maryland state rifle and pistol association,832,TimeoutException,TimeoutException
MD;https://justfacts.votesmart.org/interest-group/29/maryland-accountability-project,maryland accountability project,29,TimeoutException,TimeoutException
MA;https://justfacts.votesmart.org/interest-group/1903/state-police-association-of-massachusetts,state police association of massachusetts,1903,State Police Association Of Massachusetts,9023
MA;https://justfacts.votesmart.org/interest-group/2592/massachusetts-womens-political-caucus,massachusetts womens political caucus,2592,Massachusetts Womens Political Caucus,258202
MA;https://justfacts.votesmart.org/interest-group/1228/national-federation-of-independent-business-massachusetts,national federation of independent business massachusetts,1228,TimeoutException,TimeoutException
MA;https://justfacts.votesmart.org/interest-group/1846/associated-industries-of-massachusetts,associated industries of massachusetts,1846,Associated Industries Of Massachusetts,5913
MA;https://justfacts.votesmart.org/interest-group/1572/massachusetts-teachers-association,massachusetts teachers association,1572,Massachusetts Teachers Association,20237
MA;https://justfacts.votesmart.org/interest-group/3186/massachusetts-coalition-of-police,massachusetts coalition of police,3186,Massachusetts Coalition Of Police,46114105
MA;https://justfacts.votesmart.org/interest-group/1/mass-voters-for-clean-elections,mass voters for clean elections,1,Massachusetts Voters For Clean Elections,1818427
MA;https://justfacts.votesmart.org/interest-group/1907/massachusetts-nurses-association,massachusetts nurses association,1907,Massachusetts Nurses Association,7704
MA;https://justfacts.votesmart.org/interest-group/1204/massachusetts-society-for-the-prevention-of-cruelty-to-animals,massachusetts society for the prevention of cruelty to animals,1204,Massachusetts Society For The Prevention Of Cruelty To Animals,10668811
MA;https://justfacts.votesmart.org/interest-group/1204/massachusetts-society-for-the-prevention-of-cruelty-to-animals,massachusetts society for the prevention of cruelty to animals,1204,Massachusetts Society For The Prevention Of Cruelty To Animals,13977
MA;https://justfacts.votesmart.org/interest-group/1246/massachusetts-audubon-society,massachusetts audubon society,1246,Massachusetts Audubon Society,10683302
MA;https://justfacts.votesmart.org/interest-group/1585/mass-scorecard,mass scorecard,1585,TimeoutException,TimeoutException
MA;https://justfacts.votesmart.org/interest-group/10/naral-pro-choice-massachusetts,naral pro choice massachusetts,10,Naral Pro Choice Massachusetts,655618
MA;https://justfacts.votesmart.org/interest-group/1330/massachusetts-public-interest-research-group-masspirg,massachusetts public interest research group masspirg,1330,TimeoutException,TimeoutException
MA;https://justfacts.votesmart.org/interest-group/419/massachusetts-human-services-coalition,massachusetts human services coalition,419,TimeoutException,TimeoutException
MA;https://justfacts.votesmart.org/interest-group/646/planned-parenthood-advocacy-fund-of-massachusetts,planned parenthood advocacy fund of massachusetts,646,TimeoutException,TimeoutException
MA;https://justfacts.votesmart.org/interest-group/1588/massachusetts-sierra-club,massachusetts sierra club,1588,Massachusetts Sierra Club Masc,52365585
MA;https://justfacts.votesmart.org/interest-group/1588/massachusetts-sierra-club,massachusetts sierra club,1588,Sierra Club Massachusetts Chapter,20873234
MA;https://justfacts.votesmart.org/interest-group/1588/massachusetts-sierra-club,massachusetts sierra club,1588,Sierra Club Massachusetts Chapter,47753835
MA;https://justfacts.votesmart.org/interest-group/1588/massachusetts-sierra-club,massachusetts sierra club,1588,Sierra Club Massachusetts Independent Expenditure Political Action Committee,53925176
MA;https://justfacts.votesmart.org/interest-group/3185/massachusetts-municipal-police-coalition,massachusetts municipal police coalition,3185,Massachusetts Municipal Police Coalition,279058
MA;https://justfacts.votesmart.org/interest-group/1978/massachusetts-motorcycle-association-pac,massachusetts motorcycle association pac,1978,TimeoutException,TimeoutException
MA;https://justfacts.votesmart.org/interest-group/1908/professional-fire-fighters-of-massachusetts,professional fire fighters of massachusetts,1908,Professional Fire Fighters Of Massachusetts,19521
MA;https://justfacts.votesmart.org/interest-group/1908/professional-fire-fighters-of-massachusetts,professional fire fighters of massachusetts,1908,Professional Fire Fighters Of Massachusetts,44282601
MA;https://justfacts.votesmart.org/interest-group/126/national-rifle-association-political-victory-fund,national rifle association political victory fund,126,TimeoutException,TimeoutException
MA;https://justfacts.votesmart.org/interest-group/2927/boston-independent-drivers-guild-bidg,boston independent drivers guild bidg,2927,TimeoutException,TimeoutException
MI;https://justfacts.votesmart.org/interest-group/3242/michigan-health-choice-alliance,michigan health choice alliance,3242,Michigan Health Choice Alliance,50309181
MI;https://justfacts.votesmart.org/interest-group/3205/michigan-republican-assembly,michigan republican assembly,3205,Michigan Republican Assembly,44411330
MA;https://justfacts.votesmart.org/interest-group/1678/massachusetts-conservation-voters,massachusetts conservation voters,1678,TimeoutException,TimeoutException
MA;https://justfacts.votesmart.org/interest-group/3040/unite-here-local-26-massachusetts,unite here local 26 massachusetts,3040,TimeoutException,TimeoutException
MI;https://justfacts.votesmart.org/interest-group/2782/michigan-freedom-fund,michigan freedom fund,2782,Michigan Freedom Fund,24671327
MI;https://justfacts.votesmart.org/interest-group/2776/police-officers-association-of-michigan,police officers association of michigan,2776,Police Officers Association Of Michigan,15159
MI;https://justfacts.votesmart.org/interest-group/1941/citizens-for-traditional-values,citizens for traditional values,1941,Citizens For Traditional Values,2049667
MA;https://justfacts.votesmart.org/interest-group/3081/32bj-service-employees-international-union-seiu-new-england-615,32bj service employees international union seiu new england 615,3081,TimeoutException,TimeoutException
MI;https://justfacts.votesmart.org/interest-group/3241/detroit-regional-chamber,detroit regional chamber,3241,Detroit Regional Chamber Of Commerce,17302
MI;https://justfacts.votesmart.org/interest-group/3241/detroit-regional-chamber,detroit regional chamber,3241,Detroit Regional Chamber Of Commerce Refund,44136141
MI;https://justfacts.votesmart.org/interest-group/3241/detroit-regional-chamber,detroit regional chamber,3241,Detroit Regional Chamber Political A,26305669
MI;https://justfacts.votesmart.org/interest-group/3241/detroit-regional-chamber,detroit regional chamber,3241,Detroit Regional Chamber-Automotive Jobs Action Coalition,41731750
MI;https://justfacts.votesmart.org/interest-group/431/michigan-chamber-of-commerce,michigan chamber of commerce,431,Michigan Chamber Of Commerce,17295
MA;https://justfacts.votesmart.org/interest-group/1905/american-federation-of-teachers-aft-massachusetts,american federation of teachers aft massachusetts,1905,TimeoutException,TimeoutException
MI;https://justfacts.votesmart.org/interest-group/2769/michigan-regional-council-of-carpenters-and-millwrights,michigan regional council of carpenters and millwrights,2769,TimeoutException,TimeoutException
MI;https://justfacts.votesmart.org/interest-group/1283/michigan-conservative-union,michigan conservative union,1283,TimeoutException,TimeoutException
MI;https://justfacts.votesmart.org/interest-group/35/naral-pro-choice-michigan,naral pro choice michigan,35,Naral Pro-Choice Michigan,1383587
MI;https://justfacts.votesmart.org/interest-group/889/michigan-league-of-conservation-voters,michigan league of conservation voters,889,Michigan League Of Conservation Voters,229874
MI;https://justfacts.votesmart.org/interest-group/2781/michigan-fraternal-order-of-police,michigan fraternal order of police,2781,Michigan Fraternal Order Of Police,37192
MI;https://justfacts.votesmart.org/interest-group/2781/michigan-fraternal-order-of-police,michigan fraternal order of police,2781,Michigan Fraternal Order Of Police,47367269
MI;https://justfacts.votesmart.org/interest-group/1939/small-business-association-of-michigan,small business association of michigan,1939,Small Business Association Of Michigan,143169
MI;https://justfacts.votesmart.org/interest-group/1939/small-business-association-of-michigan,small business association of michigan,1939,Small Business Association Of Michigan,40357795
MI;https://justfacts.votesmart.org/interest-group/3246/michigan-asian-american-progressives,michigan asian american progressives,3246,Michigan Asian-American Progressives,54001574
MI;https://justfacts.votesmart.org/interest-group/2757/michigan-nurses-association,michigan nurses association,2757,Michigan Nurses Association,3093
MI;https://justfacts.votesmart.org/interest-group/3271/uaw-region-1,uaw region 1,3271,Uaw Region 1A,20694
MI;https://justfacts.votesmart.org/interest-group/3271/uaw-region-1,uaw region 1,3271,Uaw Region 1C,52766016
MI;https://justfacts.votesmart.org/interest-group/3271/uaw-region-1,uaw region 1,3271,Uaw Region 1D,20695
MI;https://justfacts.votesmart.org/interest-group/2775/mi-women-win,mi women win,2775,Michigan Women Win,15616127
MI;https://justfacts.votesmart.org/interest-group/2768/michigan-building-and-construction-trades-council,michigan building and construction trades council,2768,TimeoutException,TimeoutException
MI;https://justfacts.votesmart.org/interest-group/429/michigan-afl-cio,michigan afl cio,429,Michigan State Afl-Cio,21457
MI;https://justfacts.votesmart.org/interest-group/1527/michigan-farm-bureau,michigan farm bureau,1527,Michigan Farm Bureau,3624
MI;https://justfacts.votesmart.org/interest-group/2756/michigan-education-association,michigan education association,2756,Michigan Education Association,20240
MI;https://justfacts.votesmart.org/interest-group/492/planned-parenthood-advocates-of-michigan,planned parenthood advocates of michigan,492,TimeoutException,TimeoutException
MI;https://justfacts.votesmart.org/interest-group/811/triangle-pride-pac,triangle pride pac,811,Triangle Pride Pac,546874
MI;https://justfacts.votesmart.org/interest-group/1659/sierra-club-michigan-chapter,sierra club michigan chapter,1659,Sierra Club Michigan Chapter,163085
MI;https://justfacts.votesmart.org/interest-group/1659/sierra-club-michigan-chapter,sierra club michigan chapter,1659,Sierra Club Michigan Chapter,24670513
MI;https://justfacts.votesmart.org/interest-group/3219/fannie-lou-hamer-pac,fannie lou hamer pac,3219,Fannie Lou Hamer Pac,118805
MI;https://justfacts.votesmart.org/interest-group/2660/progressive-womens-alliance-of-west-michigan,progressive womens alliance of west michigan,2660,Progressive Womens Alliance Of West Michigan,15252
MI;https://justfacts.votesmart.org/interest-group/2660/progressive-womens-alliance-of-west-michigan,progressive womens alliance of west michigan,2660,Progressive Womens Alliance Of West Michigan,18927893
MI;https://justfacts.votesmart.org/interest-group/3245/detroit-action,detroit action,3245,Detroit Action For A New Economy,49657491
MI;https://justfacts.votesmart.org/interest-group/3245/detroit-action,detroit action,3245,Detroit Political Action Group,994933
MI;https://justfacts.votesmart.org/interest-group/3245/detroit-action,detroit action,3245,Detroit Political Action Grp,1096735
MI;https://justfacts.votesmart.org/interest-group/3245/detroit-action,detroit action,3245,Detroit Regional Chamber-Automotive Jobs Action Coalition,41731750
MI;https://justfacts.votesmart.org/interest-group/2773/fems-for-dems,fems for dems,2773,Fems For Dems,45521777
MI;https://justfacts.votesmart.org/interest-group/697/right-to-life-of-michigan,right to life of michigan,697,Right To Life Of Michigan,21114
MI;https://justfacts.votesmart.org/interest-group/1730/environment-michigan,environment michigan,1730,Environment Michigan,19450822
MI;https://justfacts.votesmart.org/interest-group/3064/michigan-peoples-campaign,michigan peoples campaign,3064,Michigan Peoples Campaign,43575957
MI;https://justfacts.votesmart.org/interest-group/1259/shooters-alliance-for-firearms-rights-pac,shooters alliance for firearms rights pac,1259,TimeoutException,TimeoutException
MI;https://justfacts.votesmart.org/interest-group/2772/michigan-for-revolution,michigan for revolution,2772,TimeoutException,TimeoutException
MI;https://justfacts.votesmart.org/interest-group/2832/michigan-laborers-district-council,michigan laborers district council,2832,Michigan Laborers District Council,20093
MI;https://justfacts.votesmart.org/interest-group/653/national-federation-of-independent-business-michigan,national federation of independent business michigan,653,National Federation Of Independent Business Michigan,44063565
MI;https://justfacts.votesmart.org/interest-group/1337/equality-michigan,equality michigan,1337,Equality Michigan,24670888
MI;https://justfacts.votesmart.org/interest-group/1337/equality-michigan,equality michigan,1337,Equality Michigan,292752
MI;https://justfacts.votesmart.org/interest-group/1337/equality-michigan,equality michigan,1337,Equality Michigan,7783
MN;https://justfacts.votesmart.org/interest-group/763/minnesota-womens-political-caucus,minnesota womens political caucus,763,Minnesota Womens Political Caucus,9255861
MI;https://justfacts.votesmart.org/interest-group/1606/pride-source,pride source,1606,Pride Source Media,1494325
MI;https://justfacts.votesmart.org/interest-group/1606/pride-source,pride source,1606,Pride Source Media Group,1494834
MN;https://justfacts.votesmart.org/interest-group/548/minnesota-association-of-professional-employees,minnesota association of professional employees,548,Minnesota Association Of Professional Employees / Mape,43803634
MN;https://justfacts.votesmart.org/interest-group/1479/outfront-minnesota,outfront minnesota,1479,Outfront Minnesota,9175905
MN;https://justfacts.votesmart.org/interest-group/1235/minnesota-afl-cio,minnesota afl cio,1235,Minnesota Afl-Cio,20148
MN;https://justfacts.votesmart.org/interest-group/1235/minnesota-afl-cio,minnesota afl cio,1235,Minnesota Afl-Cio Candidate Fund,53740657
MN;https://justfacts.votesmart.org/interest-group/1235/minnesota-afl-cio,minnesota afl cio,1235,Minnesota Afl-Cio Minnesota Afl-Cio,53916833
MN;https://justfacts.votesmart.org/interest-group/1235/minnesota-afl-cio,minnesota afl cio,1235,"Southeast Minnesota Area Labor Council, Afl-Cio",48126202
MN;https://justfacts.votesmart.org/interest-group/2248/womenwinning,womenwinning,2248,"Womenwinning,",10243238
MN;https://justfacts.votesmart.org/interest-group/2948/minnesota-gun-owners-caucus,minnesota gun owners caucus,2948,Minnesota Gun Owners Caucus,43620686
MN;https://justfacts.votesmart.org/interest-group/837/education-minnesota,education minnesota,837,Education Minnesota,19333
MI;https://justfacts.votesmart.org/interest-group/2767/michigan-professional-fire-fighters-union,michigan professional fire fighters union,2767,TimeoutException,TimeoutException
MN;https://justfacts.votesmart.org/interest-group/328/conservation-minnesota,conservation minnesota,328,Conservation Minnesota,11324
MN;https://justfacts.votesmart.org/interest-group/266/minnesota-chamber-of-commerce,minnesota chamber of commerce,266,Minnesota Chamber Of Commerce,17307
MN;https://justfacts.votesmart.org/interest-group/2249/republican-liberty-caucus-of-minnesota,republican liberty caucus of minnesota,2249,Republican Liberty Caucus Of Minnesota,16753564
MN;https://justfacts.votesmart.org/interest-group/2249/republican-liberty-caucus-of-minnesota,republican liberty caucus of minnesota,2249,Republican Liberty Caucus Of Minnesota,29335037
MN;https://justfacts.votesmart.org/interest-group/1727/stonewall-dfl,stonewall dfl,1727,Stonewall County Dfl Of Minnesota,16978969
MN;https://justfacts.votesmart.org/interest-group/2005/minnesota-nurses-association,minnesota nurses association,2005,Minnesota Nurses Association,7832
MN;https://justfacts.votesmart.org/interest-group/1397/naral-pro-choice-minnesota,naral pro choice minnesota,1397,Naral Pro Choice Minnesota,10243210
MI;https://justfacts.votesmart.org/interest-group/1130/national-rifle-association-political-victory-fund,national rifle association political victory fund,1130,TimeoutException,TimeoutException
MN;https://justfacts.votesmart.org/interest-group/1774/voices-for-racial-justice,voices for racial justice,1774,Voices For Racial Justice,54488417
MN;https://justfacts.votesmart.org/interest-group/2794/takeaction-minnesota,takeaction minnesota,2794,Takeaction Minnesota,9128141
MI;https://justfacts.votesmart.org/interest-group/2144/independents-for-responsible-government,independents for responsible government,2144,TimeoutException,TimeoutException
MN;https://justfacts.votesmart.org/interest-group/163/taxpayers-league-of-minnesota,taxpayers league of minnesota,163,Taxpayers League Of Minnesota,16359
MN;https://justfacts.votesmart.org/interest-group/1398/legislative-evaluation-assembly-of-minnesota,legislative evaluation assembly of minnesota,1398,TimeoutException,TimeoutException
MN;https://justfacts.votesmart.org/interest-group/2596/minncan,minncan,2596,50 Can Inc 50 State Camp For Achievement Now Dba Minncan,27724840
MN;https://justfacts.votesmart.org/interest-group/2791/laborers-international-union-of-north-america-liuna-minnesota-and-north-dakota,laborers international union of north america liuna minnesota and north dakota,2791,TimeoutException,TimeoutException
MN;https://justfacts.votesmart.org/interest-group/1756/service-employees-international-union-seiu-minnesota-state-council,service employees international union seiu minnesota state council,1756,TimeoutException,TimeoutException
MN;https://justfacts.votesmart.org/interest-group/16/minnesota-family-council-minnesota-family-institute,minnesota family council minnesota family institute,16,TimeoutException,TimeoutException
MN;https://justfacts.votesmart.org/interest-group/2947/minnesota-gun-owners-pac,minnesota gun owners pac,2947,TimeoutException,TimeoutException
MS;https://justfacts.votesmart.org/interest-group/2899/mississippi-public-education-pac,mississippi public education pac,2899,Mississippi Public Education Pac,44210849
MN;https://justfacts.votesmart.org/interest-group/235/national-rifle-association-political-victory-fund,national rifle association political victory fund,235,TimeoutException,TimeoutException
MS;https://justfacts.votesmart.org/interest-group/2835/mississippi-manufacturers-association,mississippi manufacturers association,2835,Mississippi Manufacturers Association,11954471
MN;https://justfacts.votesmart.org/interest-group/1661/national-federation-of-independent-business-minnesota,national federation of independent business minnesota,1661,TimeoutException,TimeoutException
MN;https://justfacts.votesmart.org/interest-group/2244/voicespac-minnesota,voicespac minnesota,2244,TimeoutException,TimeoutException
MO;https://justfacts.votesmart.org/interest-group/144/missouri-votes-conservation,missouri votes conservation,144,Missouri Votes Conservation,10245662
MO;https://justfacts.votesmart.org/interest-group/144/missouri-votes-conservation,missouri votes conservation,144,Missouri Votes Conservation,3706701
MO;https://justfacts.votesmart.org/interest-group/3104/service-employees-international-union-seiu-missouri,service employees international union seiu missouri,3104,Seiu Missouri State Council Pac Service Employees International Union,53119979
MN;https://justfacts.votesmart.org/interest-group/1045/minnesota-sierra-club-north-star,minnesota sierra club north star,1045,TimeoutException,TimeoutException
MO;https://justfacts.votesmart.org/interest-group/2323/national-womens-political-caucus-of-metro-st-louis,national womens political caucus of metro st louis,2323,National Womens Political Caucus Of Metro St Louis,4029692
MN;https://justfacts.votesmart.org/interest-group/1109/planned-parenthood-of-minnesota-advocate,planned parenthood of minnesota advocate,1109,TimeoutException,TimeoutException
MO;https://justfacts.votesmart.org/interest-group/45/sierra-club-missouri-chapter,sierra club missouri chapter,45,Sierra Club Missouri Chapter,3965844
MO;https://justfacts.votesmart.org/interest-group/45/sierra-club-missouri-chapter,sierra club missouri chapter,45,Sierra Club Missouri Chapter,47290746
MS;https://justfacts.votesmart.org/interest-group/2246/voices-mississippi,voices mississippi,2246,TimeoutException,TimeoutException
MS;https://justfacts.votesmart.org/interest-group/732/national-federation-of-independent-business-mississippi,national federation of independent business mississippi,732,TimeoutException,TimeoutException
MO;https://justfacts.votesmart.org/interest-group/782/missouri-family-network,missouri family network,782,Missouri Family Network,3828886
MO;https://justfacts.votesmart.org/interest-group/39/privacy-rights-education-project,privacy rights education project,39,Privacy Rights Education Project,27611441
MO;https://justfacts.votesmart.org/interest-group/897/greater-kansas-city-chamber-of-commerce,greater kansas city chamber of commerce,897,Greater Kansas City Chamber Of Commerce,17304
MO;https://justfacts.votesmart.org/interest-group/1051/national-federation-of-independent-business-missouri,national federation of independent business missouri,1051,National Federation Of Independent Business Missouri,43523664
MO;https://justfacts.votesmart.org/interest-group/714/national-rifle-association-political-victory-fund,national rifle association political victory fund,714,TimeoutException,TimeoutException
MO;https://justfacts.votesmart.org/interest-group/952/missouri-progressive-vote-coalition,missouri progressive vote coalition,952,Missouri Progressive Vote Coalition,10245804
MO;https://justfacts.votesmart.org/interest-group/952/missouri-progressive-vote-coalition,missouri progressive vote coalition,952,Missouri Progressive Vote Coalition,10803203
MO;https://justfacts.votesmart.org/interest-group/601/naral-pro-choice-missouri,naral pro choice missouri,601,Naral Pro Choice Missouri,13705727
MT;https://justfacts.votesmart.org/interest-group/1301/montana-stockgrowers-association,montana stockgrowers association,1301,Montana Stockgrowers Association,8141164
MT;https://justfacts.votesmart.org/interest-group/3005/montana-federation-of-public-employees,montana federation of public employees,3005,Montana Federation Of Public Employees,54305438
MT;https://justfacts.votesmart.org/interest-group/2305/montana-sportsmen-alliance,montana sportsmen alliance,2305,Montana Sportsmen Alliance,16005492
MT;https://justfacts.votesmart.org/interest-group/2305/montana-sportsmen-alliance,montana sportsmen alliance,2305,Montana Sportsmen Alliance,54255825
MO;https://justfacts.votesmart.org/interest-group/2529/planned-parenthood-advocates-in-missouri,planned parenthood advocates in missouri,2529,TimeoutException,TimeoutException
MO;https://justfacts.votesmart.org/interest-group/1322/promo-for-the-personal-rights-of-missourians,promo for the personal rights of missourians,1322,TimeoutException,TimeoutException
MT;https://justfacts.votesmart.org/interest-group/1515/northern-plains-resource-council,northern plains resource council,1515,Northern Plains Resource Council,8238
MT;https://justfacts.votesmart.org/interest-group/2007/united-property-owners-of-montana,united property owners of montana,2007,United Property Owners Of Montana,24862773
MT;https://justfacts.votesmart.org/interest-group/2102/southwest-montana-building-industry-association,southwest montana building industry association,2102,Southwest Montana Building Industry Association,27617124
MT;https://justfacts.votesmart.org/interest-group/522/montana-progressive-labor-caucus,montana progressive labor caucus,522,Montana Progressive Labor Caucus,7934
MT;https://justfacts.votesmart.org/interest-group/2499/teamsters-local-2,teamsters local 2,2499,Teamsters Local 2,44061055
MT;https://justfacts.votesmart.org/interest-group/1800/montanans-for-multiple-use,montanans for multiple use,1800,Montanans For Multiple Use,8305251
MT;https://justfacts.votesmart.org/interest-group/547/montana-environmental-information-center,montana environmental information center,547,Montana Environmental Information Center,7923
MT;https://justfacts.votesmart.org/interest-group/1771/montana-league-of-rural-voters,montana league of rural voters,1771,Montana League Of Rural Voters,7872076
MT;https://justfacts.votesmart.org/interest-group/455/montana-public-interest-research-group,montana public interest research group,455,Montana Public Interest Research Group,7936
MT;https://justfacts.votesmart.org/interest-group/2087/planned-parenthood-advocates-of-montana,planned parenthood advocates of montana,2087,Planned Parenthood Advocates Of Montana,43793160
MT;https://justfacts.votesmart.org/interest-group/1629/national-federation-of-independent-business-montana,national federation of independent business montana,1629,National Federation Of Independent Business Montana Political Action Committee,47939777
MT;https://justfacts.votesmart.org/interest-group/752/montana-conservation-voters,montana conservation voters,752,Montana Conservation Voters,7919
MT;https://justfacts.votesmart.org/interest-group/1163/montana-wool-growers-association,montana wool growers association,1163,Montana Wool Growers Association,7883107
MO;https://justfacts.votesmart.org/interest-group/3074/service-employees-international-union-seiu-healthcare-missouri,service employees international union seiu healthcare missouri,3074,TimeoutException,TimeoutException
MT;https://justfacts.votesmart.org/interest-group/2140/montana-contractors-association,montana contractors association,2140,Montana Contractors Association,7920
MT;https://justfacts.votesmart.org/interest-group/945/montana-family-foundation,montana family foundation,945,Montana Family Foundation,7924
MT;https://justfacts.votesmart.org/interest-group/2576/montana-state-council-of-professional-fire-fighters,montana state council of professional fire fighters,2576,Montana State Council Of Professional Fire Fighters,7660728
MO;https://justfacts.votesmart.org/interest-group/1063/missouri-chamber-of-commerce-and-industry,missouri chamber of commerce and industry,1063,TimeoutException,TimeoutException
MT;https://justfacts.votesmart.org/interest-group/1203/montana-public-employees-association,montana public employees association,1203,Association Of Montana Retired Public Employees,24862422
MT;https://justfacts.votesmart.org/interest-group/1203/montana-public-employees-association,montana public employees association,1203,Association Of Montana Retired Public Employees,50032932
MT;https://justfacts.votesmart.org/interest-group/1203/montana-public-employees-association,montana public employees association,1203,Montana Public Employees Association / Mpea,7935
MT;https://justfacts.votesmart.org/interest-group/882/teamsters-local-190,teamsters local 190,882,Teamsters Local 190,7660563
NE;https://justfacts.votesmart.org/interest-group/2686/nebraska-state-fraternal-order-of-police,nebraska state fraternal order of police,2686,Nebraska State Lodge Fraternal Order Of Police,19356
NE;https://justfacts.votesmart.org/interest-group/610/nebraska-sierra-club,nebraska sierra club,610,Nebraska Chapter Of The Sierra Club,27695134
NE;https://justfacts.votesmart.org/interest-group/610/nebraska-sierra-club,nebraska sierra club,610,Sierra Club Nebraska Chapter,9917311
NE;https://justfacts.votesmart.org/interest-group/610/nebraska-sierra-club,nebraska sierra club,610,"Sierra Club, Nebraska",27636764
NE;https://justfacts.votesmart.org/interest-group/610/nebraska-sierra-club,nebraska sierra club,610,"Sierra Club, Nebraska Chapter Of The",27673898
NE;https://justfacts.votesmart.org/interest-group/939/nebraska-farmers-union-nebfarmpac,nebraska farmers union nebfarmpac,939,Nebraska Farmers Union Political Action Committee (Nebfarmpac),28726283
NE;https://justfacts.votesmart.org/interest-group/2072/voices-for-children-in-nebraska,voices for children in nebraska,2072,Voices For Children In Nebraska,27673738
MT;https://justfacts.votesmart.org/interest-group/3038/montana-american-federation-of-state-county-and-municipal-employee-afscme,montana american federation of state county and municipal employee afscme,3038,TimeoutException,TimeoutException
NE;https://justfacts.votesmart.org/interest-group/2097/nebraska-chamber-of-commerce-industry,nebraska chamber of commerce industry,2097,Nebraska Chamber Of Commerce & Industry,17310
NV;https://justfacts.votesmart.org/interest-group/2954/silver-state-equality,silver state equality,2954,Silver State Equality,48843228
NV;https://justfacts.votesmart.org/interest-group/2954/silver-state-equality,silver state equality,2954,Silver State Equality,54465086
MT;https://justfacts.votesmart.org/interest-group/2302/montana-public-education-center,montana public education center,2302,TimeoutException,TimeoutException
NV;https://justfacts.votesmart.org/interest-group/1070/nevada-republican-liberty-caucus,nevada republican liberty caucus,1070,Nevada Republican Liberty Caucus,9731758
NV;https://justfacts.votesmart.org/interest-group/2036/reno-sparks-chamber-of-commerce,reno sparks chamber of commerce,2036,Greater Reno-Sparks Chamber Of Commerce,9688965
NV;https://justfacts.votesmart.org/interest-group/2036/reno-sparks-chamber-of-commerce,reno sparks chamber of commerce,2036,Reno & Sparks Chamber Of Commerce,48047344
NV;https://justfacts.votesmart.org/interest-group/2036/reno-sparks-chamber-of-commerce,reno sparks chamber of commerce,2036,Reno + Sparks Chamber Of Commerce,54465071
NV;https://justfacts.votesmart.org/interest-group/2036/reno-sparks-chamber-of-commerce,reno sparks chamber of commerce,2036,Reno Sparks Chamber Of Commerce-The Chamber,48842981
NV;https://justfacts.votesmart.org/interest-group/2813/professional-fire-fighters-of-nevada,professional fire fighters of nevada,2813,Professional Fire Fighters Of Nevada,19522
NV;https://justfacts.votesmart.org/interest-group/3209/one-apia-nevada-pac,one apia nevada pac,3209,One Apia Nevada Pac,47283298
MT;https://justfacts.votesmart.org/interest-group/648/national-rifle-association-political-victory-fund,national rifle association political victory fund,648,TimeoutException,TimeoutException
NE;https://justfacts.votesmart.org/interest-group/2250/nebraska-firearms-owners-association-political-action-fund,nebraska firearms owners association political action fund,2250,TimeoutException,TimeoutException
NV;https://justfacts.votesmart.org/interest-group/460/nevada-state-education-association,nevada state education association,460,Nevada State Education Association Separate Segregated Funds,44129136
NE;https://justfacts.votesmart.org/interest-group/563/planned-parenthood-voters-of-nebraska,planned parenthood voters of nebraska,563,TimeoutException,TimeoutException
NV;https://justfacts.votesmart.org/interest-group/2252/nevada-state-afl-cio,nevada state afl cio,2252,Nevada State Afl-Cio,20154
NV;https://justfacts.votesmart.org/interest-group/2016/grassroots-nevada,grassroots nevada,2016,Grassroots Nevada Llc,39005496
NV;https://justfacts.votesmart.org/interest-group/2076/citizen-outreach,citizen outreach,2076,Citizen Outreach,27700470
NE;https://justfacts.votesmart.org/interest-group/350/nebraska-taxpayers-for-freedom,nebraska taxpayers for freedom,350,TimeoutException,TimeoutException
NV;https://justfacts.votesmart.org/interest-group/2726/service-employees-international-union-seiu-nevada,service employees international union seiu nevada,2726,TimeoutException,TimeoutException
NV;https://justfacts.votesmart.org/interest-group/2812/nevada-law-enforcement-coalition-nlec,nevada law enforcement coalition nlec,2812,TimeoutException,TimeoutException
