vs_link,vs_name,vs_id,ftm_name,ftm_id
AZ;https://justfacts.votesmart.org/interest-group/2870/childrens-action-alliance,childrens action alliance,2870,Childrens Action Alliance,8559737
AZ;https://justfacts.votesmart.org/interest-group/1091/equality-arizona,equality arizona,1091,Equality Arizona,8425554
AZ;https://justfacts.votesmart.org/interest-group/150/planned-parenthood-advocates-of-arizona,planned parenthood advocates of arizona,150,Planned Parenthood Advocates Of Arizona In-Kind,48131478
AZ;https://justfacts.votesmart.org/interest-group/1054/arizona-chamber-of-commerce-and-industry,arizona chamber of commerce and industry,1054,TimeoutException,TimeoutException
AZ;https://justfacts.votesmart.org/interest-group/279/arizona-disability-advocacy-coalition,arizona disability advocacy coalition,279,TimeoutException,TimeoutException
AZ;https://justfacts.votesmart.org/interest-group/3089/az-youth-climate-coalition,az youth climate coalition,3089,TimeoutException,TimeoutException
AZ;https://justfacts.votesmart.org/interest-group/155/sierra-club-grand-canyon-chapter,sierra club grand canyon chapter,155,Sierra Club Grand Canyon Chapter,8560914
AZ;https://justfacts.votesmart.org/interest-group/2205/arizona-womens-political-caucus,arizona womens political caucus,2205,Arizona Womens Political Caucus,8889466
AZ;https://justfacts.votesmart.org/interest-group/2869/tucson-metro-chamber,tucson metro chamber,2869,Tucson Metro Chamber,42115549
AZ;https://justfacts.votesmart.org/interest-group/1085/helping-arizona-limit-tragedy-halt,helping arizona limit tragedy halt,1085,TimeoutException,TimeoutException
AZ;https://justfacts.votesmart.org/interest-group/3046/arizona-medical-political-action-committee,arizona medical political action committee,3046,TimeoutException,TimeoutException
AZ;https://justfacts.votesmart.org/interest-group/2206/arizona-list,arizona list,2206,Arizona List,8425625
AZ;https://justfacts.votesmart.org/interest-group/2088/arizona-economic-development-practitioners,arizona economic development practitioners,2088,TimeoutException,TimeoutException
AZ;https://justfacts.votesmart.org/interest-group/519/united-for-arizona,united for arizona,519,Arizona Families United For Strong Communities,20367
AZ;https://justfacts.votesmart.org/interest-group/519/united-for-arizona,united for arizona,519,Arizona United For Immigration Reform,5822
AZ;https://justfacts.votesmart.org/interest-group/519/united-for-arizona,united for arizona,519,Living United For Change In Arizona,41152732
AR;https://justfacts.votesmart.org/interest-group/2456/planned-parenthood-voters-of-arkansas,planned parenthood voters of arkansas,2456,Planned Parenthood Voters Of Arkansas,43135025
AZ;https://justfacts.votesmart.org/interest-group/2/national-federation-of-independent-business-arizona,national federation of independent business arizona,2,TimeoutException,TimeoutException
AR;https://justfacts.votesmart.org/interest-group/1244/national-federation-of-independent-business-arkansas,national federation of independent business arkansas,1244,National Federation Of Independent Business Arkansas,42114298
AR;https://justfacts.votesmart.org/interest-group/2871/family-council,family council,2871,Family Council,3478157
AR;https://justfacts.votesmart.org/interest-group/2871/family-council,family council,2871,Family Council,9714191
AZ;https://justfacts.votesmart.org/interest-group/2944/unite-here-local-11-arizona,unite here local 11 arizona,2944,TimeoutException,TimeoutException
AR;https://justfacts.votesmart.org/interest-group/2857/arkansas-state-employees-association,arkansas state employees association,2857,Arkansas State Employees Association,13668775
AR;https://justfacts.votesmart.org/interest-group/2857/arkansas-state-employees-association,arkansas state employees association,2857,Arkansas State Employees Association,9623497
AR;https://justfacts.votesmart.org/interest-group/1140/arkansas-afl-cio,arkansas afl cio,1140,Arkansas Afl-Cio,20129
AR;https://justfacts.votesmart.org/interest-group/1140/arkansas-afl-cio,arkansas afl cio,1140,Arkansas Afl-Cio Young Workers Conference,40802150
AR;https://justfacts.votesmart.org/interest-group/1140/arkansas-afl-cio,arkansas afl cio,1140,Peaint Arkansas Afl-Cio,9850262
AR;https://justfacts.votesmart.org/interest-group/2575/conduit-for-commerce,conduit for commerce,2575,Conduit For Commerce,16129041
AR;https://justfacts.votesmart.org/interest-group/2209/conservative-arkansas,conservative arkansas,2209,Conservative Arkansas,9620249
AR;https://justfacts.votesmart.org/interest-group/106/arkansas-citizens-first-congress,arkansas citizens first congress,106,Arkansas Citizens First Congress,27649580
AZ;https://justfacts.votesmart.org/interest-group/1597/national-rifle-association-political-victory-fund,national rifle association political victory fund,1597,TimeoutException,TimeoutException
AZ;https://justfacts.votesmart.org/interest-group/1994/arizona-hospital-and-healthcare-association,arizona hospital and healthcare association,1994,TimeoutException,TimeoutException
CA;https://justfacts.votesmart.org/interest-group/1594/california-labor-federation,california labor federation,1594,California Labor Federation Afl-Cio,20131
CA;https://justfacts.votesmart.org/interest-group/1594/california-labor-federation,california labor federation,1594,California State Federation Of Labor,53933497
CA;https://justfacts.votesmart.org/interest-group/1594/california-labor-federation,california labor federation,1594,"Coalition To Protect Riders & Drivers, Sponsored By The California Labor Federation, Afl-Cio",50229752
CA;https://justfacts.votesmart.org/interest-group/1594/california-labor-federation,california labor federation,1594,"Million More Voters, Sponsored By The California Labor Federation Afl-Cio",47593704
CA;https://justfacts.votesmart.org/interest-group/1594/california-labor-federation,california labor federation,1594,Million More Voters-Sponsered By The California Labor Federation Afl-Cio,47418987
CA;https://justfacts.votesmart.org/interest-group/1594/california-labor-federation,california labor federation,1594,Standing Committee On Political Education Of The California Labor Federation Afl-Cio Scc,47116798
CA;https://justfacts.votesmart.org/interest-group/1594/california-labor-federation,california labor federation,1594,Standing Committee On Political Education Of The California Labor Federation Small Contributor Committee,49314582
CA;https://justfacts.votesmart.org/interest-group/1594/california-labor-federation,california labor federation,1594,"Standing Committee On Political Education Of The California Labor Federation, Afl-Cio- Small Contributor Committee",44597525
CA;https://justfacts.votesmart.org/interest-group/2212/honor-pac,honor pac,2212,Honor Pac,10243946
CA;https://justfacts.votesmart.org/interest-group/2212/honor-pac,honor pac,2212,Honor Pac,7214686
CA;https://justfacts.votesmart.org/interest-group/220/california-farm-bureau-federation,california farm bureau federation,220,California Farm Bureau Federation,3622
CA;https://justfacts.votesmart.org/interest-group/2527/california-environmental-justice-alliance,california environmental justice alliance,2527,California Environmental Justice Alliance,24577229
CA;https://justfacts.votesmart.org/interest-group/3257/california-young-democrats,california young democrats,3257,California Young Democrats,10245154
CA;https://justfacts.votesmart.org/interest-group/3257/california-young-democrats,california young democrats,3257,California Young Democrats,1262608
CA;https://justfacts.votesmart.org/interest-group/3257/california-young-democrats,california young democrats,3257,California Young Democrats,29261806
CA;https://justfacts.votesmart.org/interest-group/1979/professional-engineers-in-california-government,professional engineers in california government,1979,Professional Engineers In California Government,4414
CA;https://justfacts.votesmart.org/interest-group/691/national-tax-limitation-committee,national tax limitation committee,691,National Tax Limitation Committee,2285950
CA;https://justfacts.votesmart.org/interest-group/1923/california-federation-of-teachers,california federation of teachers,1923,California Federation Of Teachers,19198
CA;https://justfacts.votesmart.org/interest-group/1923/california-federation-of-teachers,california federation of teachers,1923,California Federation Of Teachers,48495805
CA;https://justfacts.votesmart.org/interest-group/2491/national-union-of-healthcare-workers,national union of healthcare workers,2491,National Union Of Healthcare Workers,16933737
AZ;https://justfacts.votesmart.org/interest-group/713/arizona-state-rifle-and-pistol-association,arizona state rifle and pistol association,713,TimeoutException,TimeoutException
CA;https://justfacts.votesmart.org/interest-group/2632/democrats-for-neighborhood-action,democrats for neighborhood action,2632,Democrats For Neighborhood Action,13811002
CA;https://justfacts.votesmart.org/interest-group/2993/national-womens-political-caucus-california,national womens political caucus california,2993,National Womens Political Caucus (Nwpc) Of California Pac,29030054
CA;https://justfacts.votesmart.org/interest-group/2993/national-womens-political-caucus-california,national womens political caucus california,2993,National Womens Political Caucus California Pac Nwpc Ca,53396632
CA;https://justfacts.votesmart.org/interest-group/2993/national-womens-political-caucus-california,national womens political caucus california,2993,National Womens Political Caucus California State,2400840
CA;https://justfacts.votesmart.org/interest-group/2993/national-womens-political-caucus-california,national womens political caucus california,2993,National Womens Political Caucus California Womens Leadership Fund,49319620
CA;https://justfacts.votesmart.org/interest-group/2993/national-womens-political-caucus-california,national womens political caucus california,2993,National Womens Political Caucus Nwpc California,52373841
CA;https://justfacts.votesmart.org/interest-group/2993/national-womens-political-caucus-california,national womens political caucus california,2993,National Womens Political Caucus Of California,14428
CA;https://justfacts.votesmart.org/interest-group/2993/national-womens-political-caucus-california,national womens political caucus california,2993,National Womens Political Caucus Of California (Nwpc Ca) Pac,752862
CA;https://justfacts.votesmart.org/interest-group/2993/national-womens-political-caucus-california,national womens political caucus california,2993,National Womens Political Caucus Of California (Nwpc) Pac,32877966
CA;https://justfacts.votesmart.org/interest-group/2993/national-womens-political-caucus-california,national womens political caucus california,2993,National Womens Political Caucus Of California Pa,48127463
